Industry  IndustryDescription									    Commodity CommodityDescription									ProVal    IOYear
336611    Ship building and repairing                                                               230101    Nonresidential commercial and health care structures                                      4.00      2002      
336611    Ship building and repairing                                                               230102    Nonresidential manufacturing structures                                                   7.90      2002      
336611    Ship building and repairing                                                               332710    Machine shops                                                                             23.60     2002      
336611    Ship building and repairing                                                               333920    Material handling equipment manufacturing                                                 44.20     2002      
336611    Ship building and repairing                                                               335314    Relay and industrial control manufacturing                                                99.40     2002      
336611    Ship building and repairing                                                               336611    Ship building and repairing                                                               12670.50  2002      
336611    Ship building and repairing                                                               336992    Military armored vehicle, tank, and tank component manufacturing                          52.90     2002      
336611    Ship building and repairing                                                               420000    Wholesale trade                                                                           9.60      2002      
336611    Ship building and repairing                                                               541511    Custom computer programming services                                                      8.50      2002      
336611    Ship building and repairing                                                               S00401    Scrap                                                                                     2.50      2002      
336612    Boat building                                                                             230101    Nonresidential commercial and health care structures                                      1.40      2002      
336612    Boat building                                                                             230102    Nonresidential manufacturing structures                                                   3.30      2002      
336612    Boat building                                                                             32619A    Other plastics product manufacturing                                                      44.20     2002      
336612    Boat building                                                                             333618    Other engine equipment manufacturing                                                      55.60     2002      
336612    Boat building                                                                             336214    Travel trailer and camper manufacturing                                                   59.40     2002      
336612    Boat building                                                                             336611    Ship building and repairing                                                               19.50     2002      
336612    Boat building                                                                             336612    Boat building                                                                             7897.50   2002      
336612    Boat building                                                                             336999    All other transportation equipment manufacturing                                          23.90     2002      
336612    Boat building                                                                             420000    Wholesale trade                                                                           69.00     2002      
336612    Boat building                                                                             541511    Custom computer programming services                                                      4.90      2002      
336991    Motorcycle, bicycle, and parts manufacturing                                              314910    Textile bag and canvas mills                                                              5.40      2002      
336991    Motorcycle, bicycle, and parts manufacturing                                              332500    Hardware manufacturing                                                                    10.40     2002      
336991    Motorcycle, bicycle, and parts manufacturing                                              336991    Motorcycle, bicycle, and parts manufacturing                                              4183.70   2002      
336991    Motorcycle, bicycle, and parts manufacturing                                              336999    All other transportation equipment manufacturing                                          249.50    2002      
336991    Motorcycle, bicycle, and parts manufacturing                                              420000    Wholesale trade                                                                           46.50     2002      
336991    Motorcycle, bicycle, and parts manufacturing                                              541511    Custom computer programming services                                                      6.30      2002      
336992    Military armored vehicle, tank, and tank component manufacturing                          333514    Special tool, die, jig, and fixture manufacturing                                         3.50      2002      
336992    Military armored vehicle, tank, and tank component manufacturing                          336211    Motor vehicle body manufacturing                                                          4.90      2002      
336992    Military armored vehicle, tank, and tank component manufacturing                          336300    Motor vehicle parts manufacturing                                                         10.60     2002      
336992    Military armored vehicle, tank, and tank component manufacturing                          336992    Military armored vehicle, tank, and tank component manufacturing                          1503.80   2002      
336992    Military armored vehicle, tank, and tank component manufacturing                          541511    Custom computer programming services                                                      1.90      2002      
336999    All other transportation equipment manufacturing                                          230102    Nonresidential manufacturing structures                                                   0.50      2002      
336999    All other transportation equipment manufacturing                                          332500    Hardware manufacturing                                                                    19.80     2002      
336999    All other transportation equipment manufacturing                                          333111    Farm machinery and equipment manufacturing                                                37.10     2002      
336999    All other transportation equipment manufacturing                                          333112    Lawn and garden equipment manufacturing                                                   56.40     2002      
336999    All other transportation equipment manufacturing                                          333613    Mechanical power transmission equipment manufacturing                                     30.90     2002      
336999    All other transportation equipment manufacturing                                          333920    Material handling equipment manufacturing                                                 48.50     2002      
336999    All other transportation equipment manufacturing                                          33399A    Other general purpose machinery manufacturing                                             41.70     2002      
336999    All other transportation equipment manufacturing                                          335224    Household laundry equipment manufacturing                                                 244.00    2002      
336999    All other transportation equipment manufacturing                                          336214    Travel trailer and camper manufacturing                                                   26.10     2002      
336999    All other transportation equipment manufacturing                                          336612    Boat building                                                                             23.00     2002      
336999    All other transportation equipment manufacturing                                          336991    Motorcycle, bicycle, and parts manufacturing                                              5.20      2002      
336999    All other transportation equipment manufacturing                                          336999    All other transportation equipment manufacturing                                          6245.40   2002      
336999    All other transportation equipment manufacturing                                          420000    Wholesale trade                                                                           75.70     2002      
336999    All other transportation equipment manufacturing                                          541511    Custom computer programming services                                                      5.20      2002      
337110    Wood kitchen cabinet and countertop manufacturing                                         230101    Nonresidential commercial and health care structures                                      2.20      2002      
337110    Wood kitchen cabinet and countertop manufacturing                                         230102    Nonresidential manufacturing structures                                                   4.40      2002      
337110    Wood kitchen cabinet and countertop manufacturing                                         321219    Reconstituted wood product manufacturing                                                  45.80     2002      
337110    Wood kitchen cabinet and countertop manufacturing                                         321910    Wood windows and doors and millwork                                                       163.00    2002      
337110    Wood kitchen cabinet and countertop manufacturing                                         32619A    Other plastics product manufacturing                                                      167.20    2002      
337110    Wood kitchen cabinet and countertop manufacturing                                         327991    Cut stone and stone product manufacturing                                                 21.60     2002      
337110    Wood kitchen cabinet and countertop manufacturing                                         337110    Wood kitchen cabinet and countertop manufacturing                                         13878.20  2002      
337110    Wood kitchen cabinet and countertop manufacturing                                         337122    Nonupholstered wood household furniture manufacturing                                     9.40      2002      
337110    Wood kitchen cabinet and countertop manufacturing                                         337127    Institutional furniture manufacturing                                                     49.90     2002      
337110    Wood kitchen cabinet and countertop manufacturing                                         337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         86.50     2002      
337110    Wood kitchen cabinet and countertop manufacturing                                         337215    Showcase, partition, shelving, and locker manufacturing                                   24.30     2002      
337110    Wood kitchen cabinet and countertop manufacturing                                         420000    Wholesale trade                                                                           73.20     2002      
337110    Wood kitchen cabinet and countertop manufacturing                                         541511    Custom computer programming services                                                      7.20      2002      
337121    Upholstered household furniture manufacturing                                             230102    Nonresidential manufacturing structures                                                   1.30      2002      
337121    Upholstered household furniture manufacturing                                             314120    Curtain and linen mills                                                                   5.10      2002      
337121    Upholstered household furniture manufacturing                                             316900    Other leather and allied product manufacturing                                            0.00      2002      
337121    Upholstered household furniture manufacturing                                             32121A    Veneer and plywood manufacturing                                                          43.80     2002      
337121    Upholstered household furniture manufacturing                                             336300    Motor vehicle parts manufacturing                                                         86.90     2002      
337121    Upholstered household furniture manufacturing                                             337121    Upholstered household furniture manufacturing                                             9923.30   2002      
337121    Upholstered household furniture manufacturing                                             337122    Nonupholstered wood household furniture manufacturing                                     83.10     2002      
337121    Upholstered household furniture manufacturing                                             33712A    Metal and other household furniture (except wood) manufacturing /1/                       3.00      2002      
337121    Upholstered household furniture manufacturing                                             337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         68.80     2002      
337121    Upholstered household furniture manufacturing                                             337215    Showcase, partition, shelving, and locker manufacturing                                   132.90    2002      
337121    Upholstered household furniture manufacturing                                             337910    Mattress manufacturing                                                                    17.90     2002      
337121    Upholstered household furniture manufacturing                                             420000    Wholesale trade                                                                           36.80     2002      
337121    Upholstered household furniture manufacturing                                             541511    Custom computer programming services                                                      4.40      2002      
337122    Nonupholstered wood household furniture manufacturing                                     230101    Nonresidential commercial and health care structures                                      0.80      2002      
337122    Nonupholstered wood household furniture manufacturing                                     230102    Nonresidential manufacturing structures                                                   1.90      2002      
337122    Nonupholstered wood household furniture manufacturing                                     327215    Glass product manufacturing made of purchased glass                                       219.80    2002      
337122    Nonupholstered wood household furniture manufacturing                                     337110    Wood kitchen cabinet and countertop manufacturing                                         13.50     2002      
337122    Nonupholstered wood household furniture manufacturing                                     337121    Upholstered household furniture manufacturing                                             300.50    2002      
337122    Nonupholstered wood household furniture manufacturing                                     337122    Nonupholstered wood household furniture manufacturing                                     10269.30  2002      
337122    Nonupholstered wood household furniture manufacturing                                     33712A    Metal and other household furniture (except wood) manufacturing /1/                       26.90     2002      
337122    Nonupholstered wood household furniture manufacturing                                     337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         21.00     2002      
337122    Nonupholstered wood household furniture manufacturing                                     337215    Showcase, partition, shelving, and locker manufacturing                                   16.50     2002      
337122    Nonupholstered wood household furniture manufacturing                                     33721A    Wood television, radio, and sewing machine cabinet manufacturing /1/                      18.10     2002      
337122    Nonupholstered wood household furniture manufacturing                                     337910    Mattress manufacturing                                                                    69.40     2002      
337122    Nonupholstered wood household furniture manufacturing                                     420000    Wholesale trade                                                                           253.40    2002      
337122    Nonupholstered wood household furniture manufacturing                                     541511    Custom computer programming services                                                      5.10      2002      
337127    Institutional furniture manufacturing                                                     230102    Nonresidential manufacturing structures                                                   0.40      2002      
337127    Institutional furniture manufacturing                                                     321100    Sawmills and wood preservation                                                            38.00     2002      
337127    Institutional furniture manufacturing                                                     321910    Wood windows and doors and millwork                                                       45.70     2002      
337127    Institutional furniture manufacturing                                                     321999    All other miscellaneous wood product manufacturing                                        79.20     2002      
337127    Institutional furniture manufacturing                                                     333315    Photographic and photocopying equipment manufacturing                                     46.30     2002      
337127    Institutional furniture manufacturing                                                     337110    Wood kitchen cabinet and countertop manufacturing                                         21.70     2002      
337127    Institutional furniture manufacturing                                                     337122    Nonupholstered wood household furniture manufacturing                                     2.40      2002      
337127    Institutional furniture manufacturing                                                     337127    Institutional furniture manufacturing                                                     3792.30   2002      
337127    Institutional furniture manufacturing                                                     337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         162.70    2002      
337127    Institutional furniture manufacturing                                                     337215    Showcase, partition, shelving, and locker manufacturing                                   46.10     2002      
337127    Institutional furniture manufacturing                                                     339920    Sporting and athletic goods manufacturing                                                 43.70     2002      
337127    Institutional furniture manufacturing                                                     420000    Wholesale trade                                                                           140.50    2002      
337127    Institutional furniture manufacturing                                                     541511    Custom computer programming services                                                      1.60      2002      
33712A    Metal and other household furniture (except wood) manufacturing /1/                       314120    Curtain and linen mills                                                                   17.60     2002      
33712A    Metal and other household furniture (except wood) manufacturing /1/                       325211    Plastics material and resin manufacturing                                                 46.60     2002      
33712A    Metal and other household furniture (except wood) manufacturing /1/                       332430    Metal can, box, and other metal container (light gauge) manufacturing                     109.50    2002      
33712A    Metal and other household furniture (except wood) manufacturing /1/                       337121    Upholstered household furniture manufacturing                                             70.20     2002      
33712A    Metal and other household furniture (except wood) manufacturing /1/                       337122    Nonupholstered wood household furniture manufacturing                                     124.60    2002      
33712A    Metal and other household furniture (except wood) manufacturing /1/                       337127    Institutional furniture manufacturing                                                     56.90     2002      
33712A    Metal and other household furniture (except wood) manufacturing /1/                       33712A    Metal and other household furniture (except wood) manufacturing /1/                       2448.50   2002      
33712A    Metal and other household furniture (except wood) manufacturing /1/                       337215    Showcase, partition, shelving, and locker manufacturing                                   15.60     2002      
33712A    Metal and other household furniture (except wood) manufacturing /1/                       420000    Wholesale trade                                                                           49.30     2002      
33712A    Metal and other household furniture (except wood) manufacturing /1/                       541511    Custom computer programming services                                                      0.90      2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         230102    Nonresidential manufacturing structures                                                   1.20      2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         321910    Wood windows and doors and millwork                                                       18.30     2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         321999    All other miscellaneous wood product manufacturing                                        24.20     2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         322230    Stationery product manufacturing                                                          31.90     2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         332500    Hardware manufacturing                                                                    52.20     2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         335120    Lighting fixture manufacturing                                                            130.20    2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         337110    Wood kitchen cabinet and countertop manufacturing                                         32.40     2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         337121    Upholstered household furniture manufacturing                                             35.60     2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         337122    Nonupholstered wood household furniture manufacturing                                     37.60     2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         337127    Institutional furniture manufacturing                                                     66.10     2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         13514.90  2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         337215    Showcase, partition, shelving, and locker manufacturing                                   226.20    2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         420000    Wholesale trade                                                                           145.20    2002      
337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         541511    Custom computer programming services                                                      11.10     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   230102    Nonresidential manufacturing structures                                                   0.70      2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   32121A    Veneer and plywood manufacturing                                                          28.60     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   321910    Wood windows and doors and millwork                                                       35.90     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   325610    Soap and cleaning compound manufacturing                                                  62.90     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   32619A    Other plastics product manufacturing                                                      34.00     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   327215    Glass product manufacturing made of purchased glass                                       7.80      2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   332310    Plate work and fabricated structural product manufacturing                                48.00     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   332320    Ornamental and architectural metal products manufacturing                                 14.70     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   332500    Hardware manufacturing                                                                    12.00     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   332600    Spring and wire product manufacturing                                                     7.30      2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   332913    Plumbing fixture fitting and trim manufacturing                                           61.40     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   33299C    Other fabricated metal manufacturing                                                      41.30     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   333415    Air conditioning, refrigeration, and warm air heating equipment manufacturing             20.60     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   333920    Material handling equipment manufacturing                                                 187.20    2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   337110    Wood kitchen cabinet and countertop manufacturing                                         13.70     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   337121    Upholstered household furniture manufacturing                                             35.40     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   337122    Nonupholstered wood household furniture manufacturing                                     4.00      2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   337127    Institutional furniture manufacturing                                                     103.50    2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   33712A    Metal and other household furniture (except wood) manufacturing /1/                       38.60     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         195.70    2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   337215    Showcase, partition, shelving, and locker manufacturing                                   7247.20   2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   339950    Sign manufacturing                                                                        5.20      2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   33999A    All other miscellaneous manufacturing                                                     17.20     2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   420000    Wholesale trade                                                                           108.30    2002      
337215    Showcase, partition, shelving, and locker manufacturing                                   541511    Custom computer programming services                                                      10.90     2002      
33721A    Wood television, radio, and sewing machine cabinet manufacturing /1/                      337122    Nonupholstered wood household furniture manufacturing                                     115.00    2002      
33721A    Wood television, radio, and sewing machine cabinet manufacturing /1/                      33721A    Wood television, radio, and sewing machine cabinet manufacturing /1/                      362.40    2002      
33721A    Wood television, radio, and sewing machine cabinet manufacturing /1/                      420000    Wholesale trade                                                                           21.00     2002      
33721A    Wood television, radio, and sewing machine cabinet manufacturing /1/                      541511    Custom computer programming services                                                      0.10      2002      
337910    Mattress manufacturing                                                                    314120    Curtain and linen mills                                                                   20.40     2002      
337910    Mattress manufacturing                                                                    332500    Hardware manufacturing                                                                    77.50     2002      
337910    Mattress manufacturing                                                                    332600    Spring and wire product manufacturing                                                     37.70     2002      
337910    Mattress manufacturing                                                                    337121    Upholstered household furniture manufacturing                                             16.00     2002      
337910    Mattress manufacturing                                                                    33712A    Metal and other household furniture (except wood) manufacturing /1/                       47.60     2002      
337910    Mattress manufacturing                                                                    337910    Mattress manufacturing                                                                    4839.20   2002      
337910    Mattress manufacturing                                                                    339111    Laboratory apparatus and furniture manufacturing                                          13.40     2002      
337910    Mattress manufacturing                                                                    420000    Wholesale trade                                                                           35.40     2002      
337910    Mattress manufacturing                                                                    541511    Custom computer programming services                                                      1.30      2002      
337920    Blind and shade manufacturing                                                             314120    Curtain and linen mills                                                                   39.20     2002      
337920    Blind and shade manufacturing                                                             314910    Textile bag and canvas mills                                                              11.90     2002      
337920    Blind and shade manufacturing                                                             321910    Wood windows and doors and millwork                                                       23.80     2002      
337920    Blind and shade manufacturing                                                             32222A    Coated and laminated paper, packaging paper and plastics film manufacturing               89.40     2002      
337920    Blind and shade manufacturing                                                             326110    Plastics packaging materials and unlaminated film and sheet manufacturing                 99.10     2002      
337920    Blind and shade manufacturing                                                             337920    Blind and shade manufacturing                                                             2203.50   2002      
337920    Blind and shade manufacturing                                                             420000    Wholesale trade                                                                           76.80     2002      
337920    Blind and shade manufacturing                                                             541511    Custom computer programming services                                                      1.00      2002      
339111    Laboratory apparatus and furniture manufacturing                                          230102    Nonresidential manufacturing structures                                                   0.70      2002      
339111    Laboratory apparatus and furniture manufacturing                                          325412    Pharmaceutical preparation manufacturing                                                  121.50    2002      
339111    Laboratory apparatus and furniture manufacturing                                          332710    Machine shops                                                                             27.90     2002      
339111    Laboratory apparatus and furniture manufacturing                                          334510    Electromedical and electrotherapeutic apparatus manufacturing                             22.20     2002      
339111    Laboratory apparatus and furniture manufacturing                                          334513    Industrial process variable instruments manufacturing                                     3.90      2002      
339111    Laboratory apparatus and furniture manufacturing                                          334516    Analytical laboratory instrument manufacturing                                            2.00      2002      
339111    Laboratory apparatus and furniture manufacturing                                          33451A    Watch, clock, and other measuring and controlling device manufacturing                    2.30      2002      
339111    Laboratory apparatus and furniture manufacturing                                          337212    Office furniture and custom architectural woodwork and millwork manufacturing /1/         28.70     2002      
339111    Laboratory apparatus and furniture manufacturing                                          339111    Laboratory apparatus and furniture manufacturing                                          4031.90   2002      
339111    Laboratory apparatus and furniture manufacturing                                          339113    Surgical appliance and supplies manufacturing                                             40.30     2002      
339111    Laboratory apparatus and furniture manufacturing                                          339114    Dental equipment and supplies manufacturing                                               26.40     2002      
339111    Laboratory apparatus and furniture manufacturing                                          420000    Wholesale trade                                                                           91.60     2002      
339111    Laboratory apparatus and furniture manufacturing                                          541511    Custom computer programming services                                                      7.10      2002      
339112    Surgical and medical instrument manufacturing                                             230102    Nonresidential manufacturing structures                                                   3.00      2002      
339112    Surgical and medical instrument manufacturing                                             32222A    Coated and laminated paper, packaging paper and plastics film manufacturing               38.20     2002      
339112    Surgical and medical instrument manufacturing                                             323110    Printing                                                                                  40.80     2002      
339112    Surgical and medical instrument manufacturing                                             325412    Pharmaceutical preparation manufacturing                                                  202.90    2002      
339112    Surgical and medical instrument manufacturing                                             325413    In-vitro diagnostic substance manufacturing                                               14.20     2002      
339112    Surgical and medical instrument manufacturing                                             3259A0    All other chemical product and preparation manufacturing                                  42.80     2002      
339112    Surgical and medical instrument manufacturing                                             32619A    Other plastics product manufacturing                                                      104.00    2002      
339112    Surgical and medical instrument manufacturing                                             326290    Other rubber product manufacturing                                                        50.20     2002      
339112    Surgical and medical instrument manufacturing                                             327215    Glass product manufacturing made of purchased glass                                       122.30    2002      
339112    Surgical and medical instrument manufacturing                                             33299B    Arms, ordnance, and accessories manufacturing                                             30.90     2002      
339112    Surgical and medical instrument manufacturing                                             333511    Industrial mold manufacturing                                                             5.60      2002      
339112    Surgical and medical instrument manufacturing                                             333514    Special tool, die, jig, and fixture manufacturing                                         57.50     2002      
339112    Surgical and medical instrument manufacturing                                             333912    Air and gas compressor manufacturing                                                      43.50     2002      
339112    Surgical and medical instrument manufacturing                                             334510    Electromedical and electrotherapeutic apparatus manufacturing                             218.50    2002      
339112    Surgical and medical instrument manufacturing                                             334517    Irradiation apparatus manufacturing                                                       4.90      2002      
339112    Surgical and medical instrument manufacturing                                             339111    Laboratory apparatus and furniture manufacturing                                          105.50    2002      
339112    Surgical and medical instrument manufacturing                                             339112    Surgical and medical instrument manufacturing                                             19091.00  2002      
339112    Surgical and medical instrument manufacturing                                             339113    Surgical appliance and supplies manufacturing                                             543.10    2002      
339112    Surgical and medical instrument manufacturing                                             420000    Wholesale trade                                                                           184.40    2002      
339112    Surgical and medical instrument manufacturing                                             541511    Custom computer programming services                                                      51.50     2002      
339113    Surgical appliance and supplies manufacturing                                             230102    Nonresidential manufacturing structures                                                   2.40      2002      
339113    Surgical appliance and supplies manufacturing                                             313210    Broadwoven fabric mills                                                                   12.20     2002      
339113    Surgical appliance and supplies manufacturing                                             313230    Nonwoven fabric mills                                                                     45.40     2002      
339113    Surgical appliance and supplies manufacturing                                             314990    All other textile product mills                                                           20.30     2002      
